UID,URL,NAME,RATING,TYPE,Latitude,Longitude
30,https://www.google.com/maps/place/Pratapgad+Bakery/data=!4m7!3m6!1s0x3bc2c0673f0d1709:0xde7d1b27c7093000!8m2!3d18.5234724!4d73.8637626!16s%2Fg%2F1pp2wzhch!19sChIJCRcNP2fAwjsRADAJxycbfd4?authuser=0&hl=en&rclk=1,Pratapgad Bakery,0,Bakery and Cake Shop,18.5234724,73.8637626
31,https://www.google.com/maps/place/Shree+Foods/data=!4m7!3m6!1s0x3bc2c0726b64d3a7:0xbdd94bfb6c4924bb!8m2!3d18.5106215!4d73.8525331!16s%2Fg%2F1vhq24ln!19sChIJp9Nka3LAwjsRuyRJbPtL2b0?authuser=0&hl=en&rclk=1,Shree Foods,0,Bakery and Cake Shop,18.5106215,73.8525331
32,https://www.google.com/maps/place/Shifa+Bakery/data=!4m7!3m6!1s0x3bc2c0697034bf6f:0xe7e6b753277e69f9!8m2!3d18.5139246!4d73.8618334!16s%2Fg%2F1pp2wzlj5!19sChIJb780cGnAwjsR-Wl-J1O35uc?authuser=0&hl=en&rclk=1,Shifa Bakery,3,Bakery and Cake Shop,18.5139246,73.8618334
33,https://www.google.com/maps/place/Super+quality+bakery/data=!4m7!3m6!1s0x3bc2c108b3c898bf:0xdc5ac1ee32191bdc!8m2!3d18.5169352!4d73.8618437!16s%2Fg%2F11tfwrm23v!19sChIJv5jIswjBwjsR3BsZMu7BWtw?authuser=0&hl=en&rclk=1,Super quality bakery,0,Bakery and Cake Shop,18.5169352,73.8618437
34,https://www.google.com/maps/place/NILE+BAKERS/data=!4m7!3m6!1s0x3bc2c06ba3dbaa81:0xf96416410adefa6b!8m2!3d18.5105928!4d73.8618726!16s%2Fg%2F11bydjk7vk!19sChIJgarbo2vAwjsRa_reCkEWZPk?authuser=0&hl=en&rclk=1,NILE BAKERS,4.3,Bakery and Cake Shop,18.5105928,73.8618726
35,https://www.google.com/maps/place/Bhawani+Dairy/data=!4m7!3m6!1s0x3bc2c17a6804f191:0x970102476c31d186!8m2!3d18.5131844!4d73.8611205!16s%2Fg%2F11hyxqxsz7!19sChIJkfEEaHrBwjsRhtExbEcCAZc?authuser=0&hl=en&rclk=1,Bhawani Dairy,0,Bakery and Cake Shop,18.5131844,73.8611205
36,https://www.google.com/maps/place/Roat+Bakery/data=!4m7!3m6!1s0x3bc2c069735ac6af:0xd483bc401eaae130!8m2!3d18.5140274!4d73.8618186!16s%2Fg%2F11g893cb6_!19sChIJr8Zac2nAwjsRMOGqHkC8g9Q?authuser=0&hl=en&rclk=1,Roat Bakery,4.3,Bakery and Cake Shop,18.5140274,73.8618186
37,https://www.google.com/maps/place/Cake+Shop/data=!4m7!3m6!1s0x3bc2c19ed3898315:0x13f0adc8ed0d5829!8m2!3d18.5104449!4d73.8617447!16s%2Fg%2F11hz57d30v!19sChIJFYOJ057BwjsRKVgN7cit8BM?authuser=0&hl=en&rclk=1,Cake Shop,4.3,Bakery and Cake Shop,18.5104449,73.8617447
38,https://www.google.com/maps/place/Jadhav+Snack+Center/data=!4m7!3m6!1s0x3bc2c126af4c46d3:0x3dfa00cdfc388345!8m2!3d18.5153348!4d73.8625988!16s%2Fg%2F11tk8xcqzn!19sChIJ00ZMrybBwjsRRYM4_M0A-j0?authuser=0&hl=en&rclk=1,Jadhav Snack Center,0,Bakery and Cake Shop,18.5153348,73.8625988
39,https://www.google.com/maps/place/Bobby+Bakery/data=!4m7!3m6!1s0x3bc2c0479da9574b:0xd7bc02e29e788063!8m2!3d18.5092632!4d73.8744039!16s%2Fg%2F11dxh_6kyb!19sChIJS1epnUfAwjsRY4B4nuICvNc?authuser=0&hl=en&rclk=1,Bobby Bakery,4,Bakery and Cake Shop,18.5092632,73.8744039
40,https://www.google.com/maps/place/The+cake+shop/data=!4m7!3m6!1s0x3bc2c112a4255e19:0xae37dc9b1ad73513!8m2!3d18.5088996!4d73.8745725!16s%2Fg%2F11r0f8rwb4!19sChIJGV4lpBLBwjsREzXXGpvcN64?authuser=0&hl=en&rclk=1,The cake shop,0,Bakery and Cake Shop,18.5088996,73.8745725
41,https://www.google.com/maps/place/Sunrise+Bakery/data=!4m7!3m6!1s0x3bc2c047fe0bcf5f:0xb0c16b07b05d4bfb!8m2!3d18.5088967!4d73.8771499!16s%2Fg%2F11d_2b3rtq!19sChIJX88L_kfAwjsR-0tdsAdrwbA?authuser=0&hl=en&rclk=1,Sunrise Bakery,4.1,Bakery and Cake Shop,18.5088967,73.8771499
