UID,URL,NAME,Latitude,Longitude
a88,https://www.google.com/maps/place/Shri+Siddhivinayak+Ganesh+Mandir+Sarasbaug/data=!4m7!3m6!1s0x3bc2c00de2b2e577:0x5376a0a64c6a529e!8m2!3d18.5008945!4d73.8530501!16s%2Fg%2F1v1tljrr!19sChIJd-Wy4g3AwjsRnlJqTKagdlM?authuser=0&hl=en&rclk=1,Shri Siddhivinayak Ganesh Mandir Sarasbaug,18.5008945,73.8530501
a89,https://www.google.com/maps/place/Sir+Parashurambhau+College/data=!4m7!3m6!1s0x3bc2c0734cddd56d:0xeb01ded0f540b4e4!8m2!3d18.5073729!4d73.8496335!16zL20vMGdoN2Rq!19sChIJbdXdTHPAwjsR5LRA9dDeAes?authuser=0&hl=en&rclk=1,Sir Parashurambhau College,18.5073729,73.8496335
a90,https://www.google.com/maps/place/Symbiosis+College+Of+Arts+%26+Commerce/data=!4m7!3m6!1s0x3bc2c080cbf9d46b:0x742c13f60cc8ad3b!8m2!3d18.5223792!4d73.829853!16s%2Fg%2F1tf2qpcv!19sChIJa9T5y4DAwjsRO63IDPYTLHQ?authuser=0&hl=en&rclk=1,Symbiosis College Of Arts & Commerce,18.5223792,73.829853
a91,https://www.google.com/maps/place/Thorat+Garden/data=!4m7!3m6!1s0x3bc2bfc0a86f09c3:0xeeb10bdda2b0574c!8m2!3d18.5022954!4d73.8132337!16s%2Fg%2F11bzsfd6pj!19sChIJwwlvqMC_wjsRTFewot0Lse4?authuser=0&hl=en&rclk=1,Thorat Garden,18.5022954,73.8132337
a92,https://www.google.com/maps/place/Tulshibaug+Shri+Ram+Mandir/data=!4m7!3m6!1s0x3bc2c06e6a4e3f97:0xae67d104e0390548!8m2!3d18.5137617!4d73.8553648!16s%2Fg%2F1tdx74p3!19sChIJlz9Oam7AwjsRSAU54ATRZ64?authuser=0&hl=en&rclk=1,Tulshibaug Shri Ram Mandir,18.5137617,73.8553648
a93,https://www.google.com/maps/place/Vetal+Hill/data=!4m7!3m6!1s0x3bc2bfa63ce4d6bf:0xe1cb329390a70481!8m2!3d18.5210589!4d73.8216411!16s%2Fg%2F11ddzp784b!19sChIJv9bkPKa_wjsRgQSnkJMyy-E?authuser=0&hl=en&rclk=1,Vetal Hill,18.5210589,73.8216411
a94,https://www.google.com/maps/place/Vishrambaug+Wada/data=!4m7!3m6!1s0x3bc2c06e20750ff1:0x2ef3b67bf88d87f!8m2!3d18.5138342!4d73.8536767!16s%2Fm%2F0b6gjh8!19sChIJ8Q91IG7AwjsRf9iIv2c77wI?authuser=0&hl=en&rclk=1,Vishrambaug Wada,18.5138342,73.8536767
a95,https://www.google.com/maps/place/Wagheshwar+Temple/data=!4m7!3m6!1s0x3bc2c6393a6d7bf3:0x2f6b86463fa9e859!8m2!3d18.5817345!4d73.9776728!16s%2Fg%2F1tk21cnh!19sChIJ83ttOjnGwjsRWeipP0aGay8?authuser=0&hl=en&rclk=1,Wagheshwar Temple,18.5817345,73.9776728
a96,https://www.google.com/maps/place/Yashwantrao+Chavan+Garden/data=!4m7!3m6!1s0x3bc2c01acd68e3a7:0x9b38be960faab409!8m2!3d18.4929192!4d73.8537753!16s%2Fg%2F1tdb2qm_!19sChIJp-NozRrAwjsRCbSqD5a-OJs?authuser=0&hl=en&rclk=1,Yashwantrao Chavan Garden,18.4929192,73.8537753
a97,https://www.google.com/maps/place/Zero+Stone/data=!4m7!3m6!1s0x3bc2c05a624f9a43:0x456c2abd4e8d37bd!8m2!3d18.5230388!4d73.8762163!16s%2Fg%2F11c6ts4pzy!19sChIJQ5pPYlrAwjsRvTeNTr0qbEU?authuser=0&hl=en&rclk=1,Zero Stone,18.5230388,73.8762163
